Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
319,0.26625,0.165625,0.023125,0.02625,0.119375,0.120125
320,0.267912773,0.167601246,0.02305296,0.026168224,0.119003115,0.120747664
321,0.269565217,0.167080745,0.022981366,0.026086957,0.11863354,0.120869565
322,0.27120743,0.165944272,0.022910217,0.026006192,0.118266254,0.120866873
323,0.272839506,0.165432099,0.022839506,0.028395062,0.12037037,0.121975309
324,0.271384615,0.167384615,0.022769231,0.028307692,0.119384615,0.121846154
325,0.26993865,0.166871166,0.022699387,0.028220859,0.118404908,0.121226994
326,0.268501529,0.168807339,0.022629969,0.028134557,0.117431193,0.121100917
327,0.267073171,0.168292683,0.022560976,0.02804878,0.116463415,0.120487805
328,0.265653495,0.167173252,0.022492401,0.027963526,0.116109422,0.119878419
329,0.264242424,0.166666667,0.022424242,0.027878788,0.118181818,0.119878788
330,0.265861027,0.165558912,0.022356495,0.027794562,0.117824773,0.119879154
331,0.264457831,0.165060241,0.022289157,0.027710843,0.11686747,0.119277108
332,0.263063063,0.163963964,0.022222222,0.027627628,0.116516517,0.118678679
333,0.261676647,0.163473054,0.022155689,0.02754491,0.116167665,0.118203593
334,0.260298507,0.165373134,0.022089552,0.027462687,0.115223881,0.118089552
335,0.258928571,0.164880952,0.02202381,0.027380952,0.114880952,0.117619048
336,0.260534125,0.166765579,0.021958457,0.027299703,0.114540059,0.118219585
337,0.259171598,0.166272189,0.021893491,0.027218935,0.114201183,0.117751479
338,0.257817109,0.168141593,0.021828909,0.027138643,0.113864307,0.117758112
339,0.256470588,0.167647059,0.021764706,0.027058824,0.113529412,0.117294118
340,0.258064516,0.169501466,0.02170088,0.026979472,0.113196481,0.117888563
341,0.256725146,0.169005848,0.021637427,0.026900585,0.112865497,0.117426901
342,0.255393586,0.170845481,0.021574344,0.026822157,0.111953353,0.117317784
343,0.254069767,0.170348837,0.021511628,0.026744186,0.111627907,0.116860465
344,0.255652174,0.172173913,0.021449275,0.026666667,0.111304348,0.117449275
345,0.25433526,0.171676301,0.021387283,0.026589595,0.110982659,0.11699422
346,0.253025937,0.173487032,0.021325648,0.026512968,0.110662824,0.117002882
347,0.251724138,0.172988506,0.021264368,0.026436782,0.110344828,0.116551724
348,0.253295129,0.171919771,0.021203438,0.026361032,0.110028653,0.116561605
349,0.252,0.171428571,0.021142857,0.026285714,0.109714286,0.116114286
350,0.250712251,0.17037037,0.021082621,0.026210826,0.108831909,0.115441595
351,0.252272727,0.169886364,0.021022727,0.026136364,0.108522727,0.115568182
352,0.250991501,0.171671388,0.020963173,0.026062323,0.108215297,0.115580737
353,0.252542373,0.171186441,0.020903955,0.025988701,0.110169492,0.116158192
354,0.251267606,0.172957746,0.02084507,0.025915493,0.109859155,0.116169014
355,0.25,0.17247191,0.020786517,0.025842697,0.108988764,0.115617978
356,0.251540616,0.171428571,0.020728291,0.025770308,0.11092437,0.116078431
357,0.25027933,0.170949721,0.020670391,0.025698324,0.112849162,0.116089385
358,0.24902507,0.169916435,0.020612813,0.025626741,0.114763231,0.115988858
359,0.250555556,0.169444444,0.020555556,0.025555556,0.113888889,0.116
360,0.249307479,0.168421053,0.020498615,0.025484765,0.113573407,0.115457064
361,0.250828729,0.167955801,0.020441989,0.025414365,0.113259669,0.11558011
362,0.249586777,0.16969697,0.020385675,0.025344353,0.112947658,0.115592287
363,0.251098901,0.169230769,0.02032967,0.025274725,0.112637363,0.115714286
364,0.249863014,0.168219178,0.020273973,0.025205479,0.111780822,0.115068493
365,0.25136612,0.167759563,0.020218579,0.025136612,0.11147541,0.115191257
